EHSA_Category,China_Count,China_Percentage,North Korea_Count,North Korea_Percentage,Russia_Count,Russia_Percentage
New Hot Spot,0,0.0,0,0.0,0,0.0
Consecutive Hot Spot,0,0.0,0,0.0,0,0.0
Intensifying Hot Spot,0,0.0,0,0.0,0,0.0
Persistent Hot Spot,0,0.0,0,0.0,0,0.0
Diminishing Hot Spot,0,0.0,0,0.0,0,0.0
Sporadic Hot Spot,0,0.0,0,0.0,0,0.0
Oscillating Hot Spot,0,0.0,0,0.0,0,0.0
Historical Hot Spot,0,0.0,0,0.0,0,0.0
New Cold Spot,10,4.950495,0,0.0,173,9.138933
Consecutive Cold Spot,3,1.485149,0,0.0,0,0.0
Intensifying Cold Spot,0,0.0,0,0.0,9,0.475436
Persistent Cold Spot,0,0.0,0,0.0,0,0.0
Diminishing Cold Spot,0,0.0,0,0.0,0,0.0
Sporadic Cold Spot,29,14.356436,21,10.096154,204,10.776545
Oscillating Cold Spot,66,32.673267,6,2.884615,1155,61.014263
Historical Cold Spot,0,0.0,0,0.0,0,0.0
No Pattern Detected,94,46.534653,181,87.019231,352,18.594823
