EHSA_Category,China_Count,China_Percentage,North Korea_Count,North Korea_Percentage,Russia_Count,Russia_Percentage
New Hot Spot,0,0.0,0,0.0,0,0.0
Consecutive Hot Spot,0,0.0,0,0.0,0,0.0
Intensifying Hot Spot,0,0.0,0,0.0,0,0.0
Persistent Hot Spot,0,0.0,0,0.0,0,0.0
Diminishing Hot Spot,0,0.0,0,0.0,0,0.0
Sporadic Hot Spot,0,0.0,0,0.0,0,0.0
Oscillating Hot Spot,0,0.0,0,0.0,0,0.0
Historical Hot Spot,0,0.0,0,0.0,34,1.612138
New Cold Spot,13,2.5,0,0.0,109,5.168326
Consecutive Cold Spot,0,0.0,0,0.0,2,0.094832
Intensifying Cold Spot,124,23.846154,63,14.549654,0,0.0
Persistent Cold Spot,127,24.423077,1,0.230947,0,0.0
Diminishing Cold Spot,3,0.576923,0,0.0,0,0.0
Sporadic Cold Spot,77,14.807692,334,77.136259,31,1.469891
Oscillating Cold Spot,147,28.269231,35,8.083141,1482,70.27027
Historical Cold Spot,1,0.192308,0,0.0,0,0.0
No Pattern Detected,28,5.384615,0,0.0,451,21.384542
