Fire_ID,Country,GRID_UID,GRID_ID,Year,Month,DOY,Season,Season_Name,FRP_MW,Assignment_Method,Source_File
FC_2,NK,North_Korea|AL-97,AL-97,2001,3,78,1,Spring,15.9,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_1,Russia,Russia|AV-96,AV-96,2001,3,78,1,Spring,28.5,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_3,Russia,Russia|BB-89,BB-89,2001,3,80,1,Spring,21.7,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_4,Russia,Russia|AU-95,AU-95,2001,3,82,1,Spring,82.2,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_5,Russia,Russia|AU-95,AU-95,2001,3,82,1,Spring,98.9,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_6,Russia,Russia|BE-87,BE-87,2001,3,87,1,Spring,13.0,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_7,Russia,Russia|BE-87,BE-87,2001,3,87,1,Spring,11.5,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_13,China,China|Y-87,Y-87,2001,4,94,1,Spring,8.8,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_14,Russia,Russia|BA-91,BA-91,2001,4,94,1,Spring,4.0,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_11,Russia,Russia|BD-89,BD-89,2001,4,94,1,Spring,57.5,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_9,Russia,Russia|BG-84,BG-84,2001,4,94,1,Spring,20.2,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_12,Russia,Russia|BQ-90,BQ-90,2001,4,94,1,Spring,5.7,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_10,Russia,Russia|BR-88,BR-88,2001,4,94,1,Spring,5.4,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_8,Russia,Russia|BR-89,BR-89,2001,4,94,1,Spring,5.6,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_16,China,China|Z-82,Z-82,2001,4,95,1,Spring,18.1,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
FC_15,Russia,Russia|BF-70,BF-70,2001,4,95,1,Spring,17.8,Unique_intersection,D:\Data\MODIS\MODIS61\MCD14ML\MCD14ML_2001_2025_Rebuild\MCD14ML4Merge\Total.shp
