Metric,Country,Administrative region,Year,HS_BIN,Class label,Count,Total valid cells,Percentage (%)
FC,China,Heilongjiang,2001,-3,"Cold spot, 99%",0,314,0.0
FC,China,Heilongjiang,2001,-2,"Cold spot, 95%",0,314,0.0
FC,China,Heilongjiang,2001,-1,"Cold spot, 90%",71,314,22.61
FC,China,Heilongjiang,2001,0,Not significant,241,314,76.75
FC,China,Heilongjiang,2001,1,"Hot spot, 90%",0,314,0.0
FC,China,Heilongjiang,2001,2,"Hot spot, 95%",1,314,0.32
FC,China,Heilongjiang,2001,3,"Hot spot, 99%",1,314,0.32
FC,China,Heilongjiang,2002,-3,"Cold spot, 99%",13,314,4.14
FC,China,Heilongjiang,2002,-2,"Cold spot, 95%",119,314,37.9
FC,China,Heilongjiang,2002,-1,"Cold spot, 90%",21,314,6.69
FC,China,Heilongjiang,2002,0,Not significant,161,314,51.27
FC,China,Heilongjiang,2002,1,"Hot spot, 90%",0,314,0.0
FC,China,Heilongjiang,2002,2,"Hot spot, 95%",0,314,0.0
FC,China,Heilongjiang,2002,3,"Hot spot, 99%",0,314,0.0
FC,China,Heilongjiang,2003,-3,"Cold spot, 99%",6,314,1.91
FC,China,Heilongjiang,2003,-2,"Cold spot, 95%",98,314,31.21
FC,China,Heilongjiang,2003,-1,"Cold spot, 90%",19,314,6.05
FC,China,Heilongjiang,2003,0,Not significant,136,314,43.31
FC,China,Heilongjiang,2003,1,"Hot spot, 90%",6,314,1.91
FC,China,Heilongjiang,2003,2,"Hot spot, 95%",17,314,5.41
FC,China,Heilongjiang,2003,3,"Hot spot, 99%",32,314,10.19
FC,China,Heilongjiang,2004,-3,"Cold spot, 99%",5,314,1.59
FC,China,Heilongjiang,2004,-2,"Cold spot, 95%",84,314,26.75
FC,China,Heilongjiang,2004,-1,"Cold spot, 90%",17,314,5.41
FC,China,Heilongjiang,2004,0,Not significant,75,314,23.89
FC,China,Heilongjiang,2004,1,"Hot spot, 90%",12,314,3.82
FC,China,Heilongjiang,2004,2,"Hot spot, 95%",24,314,7.64
FC,China,Heilongjiang,2004,3,"Hot spot, 99%",97,314,30.89
FC,China,Heilongjiang,2005,-3,"Cold spot, 99%",15,314,4.78
FC,China,Heilongjiang,2005,-2,"Cold spot, 95%",87,314,27.71
FC,China,Heilongjiang,2005,-1,"Cold spot, 90%",16,314,5.1
FC,China,Heilongjiang,2005,0,Not significant,121,314,38.54
FC,China,Heilongjiang,2005,1,"Hot spot, 90%",13,314,4.14
FC,China,Heilongjiang,2005,2,"Hot spot, 95%",17,314,5.41
FC,China,Heilongjiang,2005,3,"Hot spot, 99%",45,314,14.33
FC,China,Heilongjiang,2006,-3,"Cold spot, 99%",33,314,10.51
FC,China,Heilongjiang,2006,-2,"Cold spot, 95%",86,314,27.39
FC,China,Heilongjiang,2006,-1,"Cold spot, 90%",14,314,4.46
FC,China,Heilongjiang,2006,0,Not significant,171,314,54.46
FC,China,Heilongjiang,2006,1,"Hot spot, 90%",5,314,1.59
FC,China,Heilongjiang,2006,2,"Hot spot, 95%",1,314,0.32
FC,China,Heilongjiang,2006,3,"Hot spot, 99%",4,314,1.27
FC,China,Heilongjiang,2007,-3,"Cold spot, 99%",31,314,9.87
FC,China,Heilongjiang,2007,-2,"Cold spot, 95%",89,314,28.34
FC,China,Heilongjiang,2007,-1,"Cold spot, 90%",27,314,8.6
FC,China,Heilongjiang,2007,0,Not significant,151,314,48.09
FC,China,Heilongjiang,2007,1,"Hot spot, 90%",5,314,1.59
FC,China,Heilongjiang,2007,2,"Hot spot, 95%",6,314,1.91
FC,China,Heilongjiang,2007,3,"Hot spot, 99%",5,314,1.59
FC,China,Heilongjiang,2008,-3,"Cold spot, 99%",30,314,9.55
FC,China,Heilongjiang,2008,-2,"Cold spot, 95%",82,314,26.11
FC,China,Heilongjiang,2008,-1,"Cold spot, 90%",17,314,5.41
FC,China,Heilongjiang,2008,0,Not significant,113,314,35.99
FC,China,Heilongjiang,2008,1,"Hot spot, 90%",11,314,3.5
FC,China,Heilongjiang,2008,2,"Hot spot, 95%",16,314,5.1
FC,China,Heilongjiang,2008,3,"Hot spot, 99%",45,314,14.33
FC,China,Heilongjiang,2009,-3,"Cold spot, 99%",21,314,6.69
FC,China,Heilongjiang,2009,-2,"Cold spot, 95%",87,314,27.71
FC,China,Heilongjiang,2009,-1,"Cold spot, 90%",16,314,5.1
FC,China,Heilongjiang,2009,0,Not significant,48,314,15.29
FC,China,Heilongjiang,2009,1,"Hot spot, 90%",6,314,1.91
FC,China,Heilongjiang,2009,2,"Hot spot, 95%",7,314,2.23
FC,China,Heilongjiang,2009,3,"Hot spot, 99%",129,314,41.08
FC,China,Heilongjiang,2010,-3,"Cold spot, 99%",22,314,7.01
FC,China,Heilongjiang,2010,-2,"Cold spot, 95%",88,314,28.03
FC,China,Heilongjiang,2010,-1,"Cold spot, 90%",13,314,4.14
FC,China,Heilongjiang,2010,0,Not significant,82,314,26.11
FC,China,Heilongjiang,2010,1,"Hot spot, 90%",11,314,3.5
FC,China,Heilongjiang,2010,2,"Hot spot, 95%",13,314,4.14
FC,China,Heilongjiang,2010,3,"Hot spot, 99%",85,314,27.07
FC,China,Heilongjiang,2011,-3,"Cold spot, 99%",14,314,4.46
FC,China,Heilongjiang,2011,-2,"Cold spot, 95%",101,314,32.17
FC,China,Heilongjiang,2011,-1,"Cold spot, 90%",20,314,6.37
FC,China,Heilongjiang,2011,0,Not significant,164,314,52.23
FC,China,Heilongjiang,2011,1,"Hot spot, 90%",9,314,2.87
FC,China,Heilongjiang,2011,2,"Hot spot, 95%",5,314,1.59
FC,China,Heilongjiang,2011,3,"Hot spot, 99%",1,314,0.32
FC,China,Heilongjiang,2012,-3,"Cold spot, 99%",0,314,0.0
FC,China,Heilongjiang,2012,-2,"Cold spot, 95%",108,314,34.39
FC,China,Heilongjiang,2012,-1,"Cold spot, 90%",16,314,5.1
FC,China,Heilongjiang,2012,0,Not significant,154,314,49.04
FC,China,Heilongjiang,2012,1,"Hot spot, 90%",10,314,3.18
FC,China,Heilongjiang,2012,2,"Hot spot, 95%",11,314,3.5
FC,China,Heilongjiang,2012,3,"Hot spot, 99%",15,314,4.78
FC,China,Heilongjiang,2013,-3,"Cold spot, 99%",2,314,0.64
FC,China,Heilongjiang,2013,-2,"Cold spot, 95%",111,314,35.35
FC,China,Heilongjiang,2013,-1,"Cold spot, 90%",18,314,5.73
FC,China,Heilongjiang,2013,0,Not significant,182,314,57.96
FC,China,Heilongjiang,2013,1,"Hot spot, 90%",1,314,0.32
FC,China,Heilongjiang,2013,2,"Hot spot, 95%",0,314,0.0
FC,China,Heilongjiang,2013,3,"Hot spot, 99%",0,314,0.0
FC,China,Heilongjiang,2014,-3,"Cold spot, 99%",11,314,3.5
FC,China,Heilongjiang,2014,-2,"Cold spot, 95%",97,314,30.89
FC,China,Heilongjiang,2014,-1,"Cold spot, 90%",14,314,4.46
FC,China,Heilongjiang,2014,0,Not significant,126,314,40.13
FC,China,Heilongjiang,2014,1,"Hot spot, 90%",17,314,5.41
FC,China,Heilongjiang,2014,2,"Hot spot, 95%",19,314,6.05
FC,China,Heilongjiang,2014,3,"Hot spot, 99%",30,314,9.55
FC,China,Heilongjiang,2015,-3,"Cold spot, 99%",7,314,2.23
FC,China,Heilongjiang,2015,-2,"Cold spot, 95%",91,314,28.98
FC,China,Heilongjiang,2015,-1,"Cold spot, 90%",17,314,5.41
FC,China,Heilongjiang,2015,0,Not significant,120,314,38.22
FC,China,Heilongjiang,2015,1,"Hot spot, 90%",4,314,1.27
FC,China,Heilongjiang,2015,2,"Hot spot, 95%",16,314,5.1
FC,China,Heilongjiang,2015,3,"Hot spot, 99%",59,314,18.79
FC,China,Heilongjiang,2016,-3,"Cold spot, 99%",9,314,2.87
FC,China,Heilongjiang,2016,-2,"Cold spot, 95%",95,314,30.25
FC,China,Heilongjiang,2016,-1,"Cold spot, 90%",24,314,7.64
FC,China,Heilongjiang,2016,0,Not significant,186,314,59.24
FC,China,Heilongjiang,2016,1,"Hot spot, 90%",0,314,0.0
FC,China,Heilongjiang,2016,2,"Hot spot, 95%",0,314,0.0
FC,China,Heilongjiang,2016,3,"Hot spot, 99%",0,314,0.0
FC,China,Heilongjiang,2017,-3,"Cold spot, 99%",17,314,5.41
FC,China,Heilongjiang,2017,-2,"Cold spot, 95%",105,314,33.44
FC,China,Heilongjiang,2017,-1,"Cold spot, 90%",22,314,7.01
FC,China,Heilongjiang,2017,0,Not significant,167,314,53.18
FC,China,Heilongjiang,2017,1,"Hot spot, 90%",3,314,0.96
FC,China,Heilongjiang,2017,2,"Hot spot, 95%",0,314,0.0
FC,China,Heilongjiang,2017,3,"Hot spot, 99%",0,314,0.0
FC,China,Heilongjiang,2018,-3,"Cold spot, 99%",8,314,2.55
FC,China,Heilongjiang,2018,-2,"Cold spot, 95%",90,314,28.66
FC,China,Heilongjiang,2018,-1,"Cold spot, 90%",19,314,6.05
FC,China,Heilongjiang,2018,0,Not significant,128,314,40.76
FC,China,Heilongjiang,2018,1,"Hot spot, 90%",21,314,6.69
FC,China,Heilongjiang,2018,2,"Hot spot, 95%",21,314,6.69
FC,China,Heilongjiang,2018,3,"Hot spot, 99%",27,314,8.6
